b	f3	3	3a	f7	7	7a	f12	12	12a	f17	17	17a	f23	23	23a	f30	30	30a
331.258	9.55865	-0.75471	1.25932	9.55863	12.6277	-0.01333	9.55861	-34.2308	-2.29213	9.55859	-7.96737	0.25608	9.55857	-4.95843	-1.60198	9.55853	-8.37812	-0.03279
331.26	9.55858	-2.76513	1.26903	9.55855	13.6197	0.02136	9.55853	-34.2303	-2.3657	9.55852	-7.96688	0.2399	9.55849	-2.95829	-1.60426	9.55846	-8.37624	-0.06012
331.263	9.55851	-5.77555	1.27125	9.55848	17.6116	0.06596	9.55846	-33.2297	-2.43678	9.55845	-8.96639	0.22124	9.55842	-1.95815	-1.60406	9.55839	-8.37436	-0.08745
331.265	9.55844	-8.78597	1.26599	9.55841	19.6036	0.11552	9.55839	-29.2291	-2.49792	9.55837	-8.96591	0.20257	9.55835	-0.95801	-1.60137	9.55832	-7.37248	-0.11229
331.268	9.55837	-11.7964	1.25324	9.55834	22.5956	0.17252	9.55832	-24.2285	-2.54663	9.5583	-9.96542	0.18142	9.55828	0.04213	-1.59619	9.55825	-6.3706	-0.13464
331.27	9.5583	-14.8068	1.23301	9.55827	22.5876	0.22949	9.55825	-19.2279	-2.5829	9.55823	-10.9649	0.15779	9.55821	2.04227	-1.58604	9.55817	-5.36872	-0.1545
331.273	9.55822	-16.8172	1.20778	9.55819	22.5795	0.28645	9.55817	-15.2273	-2.60922	9.55816	-11.9644	0.13167	9.55814	3.04241	-1.5734	9.5581	-4.36684	-0.17186
331.275	9.55815	-17.8277	1.18003	9.55812	21.5715	0.3409	9.5581	-12.2267	-2.62809	9.55809	-11.964	0.10555	9.55806	3.04255	-1.56076	9.55803	-4.36496	-0.18923
331.278	9.55808	-16.8381	1.15475	9.55805	20.5635	0.39285	9.55803	-9.22615	-2.63949	9.55802	-12.9635	0.07695	9.55799	2.04269	-1.55061	9.55796	-4.36308	-0.20658
331.28	9.55801	-15.8485	1.13193	9.55798	18.5554	0.4398	9.55796	-7.22557	-2.64592	9.55794	-12.963	0.04834	9.55792	4.04283	-1.53549	9.55789	-4.3612	-0.22394
331.283	9.55794	-13.8589	1.11405	9.55791	15.5474	0.47927	9.55789	-7.22498	-2.65235	9.55787	-11.9625	0.02223	9.55785	4.04297	-1.52036	9.55782	-6.35931	-0.24626
331.285	9.55787	-10.8693	1.10361	9.55784	12.5394	0.51127	9.55782	-7.22439	-2.65877	9.5578	-10.962	-0.0014	9.55778	4.04312	-1.50524	9.55774	-7.35743	-0.27106
331.288	9.55779	-7.87976	1.1006	9.55776	9.53135	0.53578	9.55774	-7.22381	-2.6652	9.55773	-10.9615	-0.02503	9.55771	2.04326	-1.49508	9.55767	-9.35555	-0.30083
