bcuso4	cuso4	bcucl2	cucl2
306.261	-5.61674	311.261	-2.25517
306.310	-5.47070	311.310	-2.21604
306.359	-5.33056	311.359	-2.17824
306.408	-5.19600	311.408	-2.14172
306.457	-5.06691	311.457	-2.10641
306.505	-4.94324	311.505	-2.07227
306.554	-4.82482	311.554	-2.03922
306.603	-4.71136	311.603	-2.00718
306.652	-4.60250	311.652	-1.97610
306.701	-4.49788	311.701	-1.94593
306.750	-4.39725	311.750	-1.91664
306.799	-4.30042	311.799	-1.88818
306.848	-4.20728	311.848	-1.86053
306.896	-4.11768	311.896	-1.83364
306.945	-4.03150	311.945	-1.80750
306.994	-3.94857	311.994	-1.78209
307.043	-3.86868	312.043	-1.75739
307.092	-3.79162	312.092	-1.73338
307.141	-3.71720	312.141	-1.71005
307.190	-3.64525	312.190	-1.68735
307.239	-3.57571	312.239	-1.66523
307.287	-3.50853	312.287	-1.64365
307.336	-3.44367	312.336	-1.62257
307.385	-3.38102	312.385	-1.60199
307.434	-3.32042	312.434	-1.58189
307.483	-3.26169	312.483	-1.56228
307.532	-3.20470	312.532	-1.54314
307.581	-3.14937	312.581	-1.52447
307.630	-3.09572	312.630	-1.50625
307.678	-3.04376	312.678	-1.48845
307.727	-2.99344	312.727	-1.47107
307.776	-2.94468	312.776	-1.45409
307.825	-2.89733	312.825	-1.43750
307.874	-2.85127	312.874	-1.42129
307.923	-2.80646	312.923	-1.40542
307.972	-2.76287	312.972	-1.38988
308.021	-2.72051	313.021	-1.37463
308.069	-2.67935	313.069	-1.35967
308.118	-2.63933	313.118	-1.34498
308.167	-2.60036	313.167	-1.33059
308.216	-2.56235	313.216	-1.31649
308.265	-2.52528	313.265	-1.30270
308.314	-2.48916	313.314	-1.28922
308.363	-2.45402	313.363	-1.27603
308.412	-2.41983	313.412	-1.26310
308.460	-2.38652	313.460	-1.25042
308.509	-2.35399	313.509	-1.23797
308.558	-2.32215	313.558	-1.22574
308.607	-2.29096	313.607	-1.21372
308.656	-2.26045	313.656	-1.20191
308.705	-2.23071	313.705	-1.19031
308.754	-2.20178	313.754	-1.17892
308.803	-2.17364	313.803	-1.16774
308.851	-2.14620	313.851	-1.15677
308.900	-2.11934	313.900	-1.14600
308.949	-2.09296	313.949	-1.13542
308.998	-2.06701	313.998	-1.12505
309.047	-2.04156	314.047	-1.11487
309.096	-2.01670	314.096	-1.10489
309.145	-1.99251	314.145	-1.09509
309.194	-1.96902	314.194	-1.08546
309.242	-1.94615	314.242	-1.07597
309.291	-1.92377	314.291	-1.06662
309.340	-1.90176	314.340	-1.05741
309.389	-1.88003	314.389	-1.04832
309.438	-1.85860	314.438	-1.03936
309.487	-1.83756	314.487	-1.03056
309.536	-1.81702	314.536	-1.02191
309.585	-1.79705	314.585	-1.01342
309.633	-1.77763	314.633	-1.00509
309.682	-1.75867	314.682	-0.996890
309.731	-1.74005	314.731	-0.988819
309.780	-1.72164	314.780	-0.980860
309.829	-1.70339	314.829	-0.973007
309.878	-1.68534	314.878	-0.965258
309.927	-1.66757	314.927	-0.957616
309.976	-1.65020	314.976	-0.950083
310.024	-1.63329	315.024	-0.942662
310.073	-1.61687	315.073	-0.935350
310.122	-1.60085	315.122	-0.928142
310.171	-1.58515	315.171	-0.921036
310.220	-1.56965	315.220	-0.914026
310.269	-1.55427	315.269	-0.907115
310.318	-1.53902	315.318	-0.900304
310.367	-1.52394	315.367	-0.893597
310.415	-1.50912	315.415	-0.886996
310.464	-1.49465	315.464	-0.880500
310.513	-1.48058	315.513	-0.874105
310.562	-1.46691	315.562	-0.867802
310.611	-1.45357	315.611	-0.861585
310.660	-1.44046	315.660	-0.855444
310.709	-1.42745	315.709	-0.849375
310.758	-1.41448	315.758	-0.843379
310.806	-1.40155	315.806	-0.837457
310.855	-1.38874	315.855	-0.831613
310.904	-1.37617	315.904	-0.825851
310.953	-1.36396	315.953	-0.820173
311.002	-1.35216	316.002	-0.814583
311.051	-1.34074	316.051	-0.809079
311.100	-1.32959	316.100	-0.803662
311.149	-1.31854	316.149	-0.798329
311.197	-1.30745	316.197	-0.793077
311.246	-1.29627	316.246	-0.787896
311.295	-1.28507	316.295	-0.782780
311.344	-1.27401	316.344	-0.777719
311.393	-1.26328	316.393	-0.772706
311.442	-1.25299	316.442	-0.767738
311.491	-1.24316	316.491	-0.762817
311.540	-1.23365	316.540	-0.757949
311.588	-1.22426	316.588	-0.753146
311.637	-1.21480	316.637	-0.748418
311.686	-1.20514	316.686	-0.743771
311.735	-1.19535	316.735	-0.739209
311.784	-1.18558	316.784	-0.734727
311.833	-1.17606	316.833	-0.730315
311.882	-1.16695	316.882	-0.725960
311.931	-1.15832	316.931	-0.721647
311.979	-1.15007	316.979	-0.717365
312.028	-1.14202	317.028	-0.713107
312.077	-1.13393	317.077	-0.708874
312.126	-1.12565	317.126	-0.704674
312.175	-1.11718	317.175	-0.700523
312.224	-1.10862	317.224	-0.696437
312.273	-1.10017	317.273	-0.692429
312.322	-1.09202	317.322	-0.688502
312.370	-1.08428	317.370	-0.684651
312.419	-1.07697	317.419	-0.680863
312.468	-1.06995	317.468	-0.677119
312.517	-1.06305	317.517	-0.673403
312.566	-1.05607	317.566	-0.669706
312.615	-1.04890	317.615	-0.666029
312.664	-1.04153	317.664	-0.662382
312.713	-1.03407	317.713	-0.658778
312.761	-1.02670	317.761	-0.655232
312.810	-1.01961	317.810	-0.651750
