b1	1	b2	2	b3	3
342.66	12.088	342.66	10.692	344.56	34.989
342.68	12.232	342.68	10.9	344.57	37.483
342.69	12.379	342.69	11.113	344.57	40.054
342.7	12.529	342.7	11.332	344.58	42.709
342.72	12.681	342.72	11.557	344.58	45.458
342.73	12.837	342.73	11.788	344.59	48.308
342.74	12.995	342.74	12.025	344.59	51.269
342.76	13.157	342.76	12.27	344.6	54.352
342.77	13.323	342.77	12.521	344.6	57.566
342.78	13.491	342.78	12.779	344.61	60.924
342.8	13.663	342.8	13.044	344.62	64.438
342.81	13.839	342.81	13.317	344.62	68.121
342.82	14.018	342.82	13.598	344.63	71.987
342.84	14.202	342.84	13.887	344.63	76.053
342.85	14.389	342.85	14.185	344.64	80.334
342.86	14.58	342.86	14.491	344.64	84.851
342.88	14.775	342.88	14.806	344.65	89.622
342.89	14.975	342.89	15.131	344.65	94.669
342.9	15.179	342.9	15.465	344.66	100.02
342.92	15.387	342.92	15.81	344.66	105.69
342.93	15.6	342.93	16.165	344.67	111.72
342.94	15.818	342.94	16.53	344.68	118.14
342.96	16.041	342.96	16.907	344.68	124.98
342.97	16.269	342.97	17.296	344.69	132.28
342.98	16.502	342.98	17.696	344.69	140.08
343	16.741	343	18.109	344.7	148.43
343.01	16.985	343.01	18.535	344.7	157.38
343.02	17.235	343.02	18.974	344.71	167
343.04	17.491	343.04	19.427	344.71	177.33
343.05	17.753	343.05	19.894	344.72	188.47
343.06	18.021	343.06	20.377	344.73	200.48
343.08	18.296	343.08	20.874	344.73	213.45
343.09	18.578	343.09	21.388	344.74	227.5
343.1	18.867	343.1	21.918	344.74	242.73
343.12	19.162	343.12	22.465	344.75	259.26
343.13	19.466	343.13	23.029	344.75	277.25
343.14	19.776	343.14	23.612	344.76	296.86
343.16	20.095	343.16	24.214	344.76	318.27
343.17	20.422	343.17	24.836	344.77	341.7
343.18	20.757	343.18	25.477	344.78	367.38
343.2	21.101	343.2	26.14	344.78	395.6
343.21	21.454	343.21	26.824	344.79	426.66
343.22	21.817	343.22	27.53	344.79	460.93
343.24	22.189	343.24	28.259	344.8	498.82
343.25	22.57	343.25	29.012	344.8	540.82
343.26	22.962	343.26	29.789	344.81	587.48
343.28	23.365	343.28	30.59	344.81	639.45
343.29	23.778	343.29	31.418	344.82	697.48
343.3	24.202	343.3	32.271	344.82	762.45
343.32	24.638	343.32	33.152	344.83	835.38
343.33	25.086	343.33	34.06	344.84	917.47
343.34	25.547	343.34	34.996	344.84	1010.1
343.36	26.019	343.36	35.96	344.85	1115
343.37	26.505	343.37	36.953	344.85	1234.1
343.38	27.005	343.38	37.976	344.86	1369.7
343.4	27.518	343.4	39.028	344.86	1524.5
343.41	28.046	343.41	40.11	344.87	1701.8
343.42	28.588	343.42	41.221	344.87	1905.2
343.44	29.145	343.44	42.363	344.88	2139.3
343.45	29.717	343.45	43.534	344.89	2409.2
343.46	30.305	343.46	44.734	344.89	2720.8
343.48	30.91	343.48	45.963	344.9	3080.8
343.49	31.531	343.49	47.219	344.9	3496.6
343.5	32.169	343.5	48.502	344.91	3975.8
343.52	32.824	343.52	49.81	344.91	4525.8
343.53	33.497	343.53	51.141	344.92	5152.4
343.54	34.188	343.54	52.493	344.92	5857.6
343.56	34.897	343.56	53.863	344.93	6636.4
343.57	35.624	343.57	55.249	344.93	7470.8
343.58	36.37	343.58	56.647	344.94	8322.9
343.6	37.134	343.6	58.053	344.95	9124.3
343.61	37.918	343.61	59.461	344.95	9766.8
343.62	38.72	343.62	60.868	344.96	10097
343.64	39.54	343.64	62.266	344.96	9923.7
343.65	40.38	343.65	63.648	344.97	9053.7
343.66	41.237	343.66	65.008	344.97	7353.3
343.68	42.113	343.68	66.337	344.98	4830.4
343.69	43.006	343.69	67.625	344.98	1690.8
343.7	43.915	343.7	68.863	344.99	-1678.9
343.72	44.841	343.72	70.04	345	-4818.5
343.73	45.782	343.73	71.144	345	-7341.4
343.74	46.738	343.74	72.162	345.01	-9041.8
343.76	47.706	343.76	73.083	345.01	-9911.7
343.77	48.686	343.77	73.891	345.02	-10085
343.78	49.675	343.78	74.573	345.02	-9754.8
343.8	50.673	343.8	75.115	345.03	-9112.3
343.81	51.677	343.81	75.502	345.03	-8310.8
343.82	52.686	343.82	75.721	345.04	-7458.7
343.84	53.695	343.84	75.757	345.05	-6624.2
343.85	54.705	343.85	75.598	345.05	-5845.3
343.86	55.71	343.86	75.231	345.06	-5140.1
343.88	56.709	343.88	74.648	345.06	-4513.4
343.89	57.699	343.89	73.838	345.07	-3963.4
343.9	58.677	343.9	72.798	345.07	-3484.1
343.92	59.639	343.92	71.522	345.08	-3068.2
