b	f	mn	mna
299.638	10.5678	410.018	1880.63
299.662	10.567	411.073	1889.5
299.687	10.5661	412.128	1898.39
299.711	10.5652	414.183	1907.32
299.736	10.5644	416.238	1916.31
299.76	10.5635	418.293	1925.35
299.785	10.5627	419.348	1934.42
299.809	10.5618	421.403	1943.53
299.834	10.5609	423.457	1952.7
299.858	10.5601	426.512	1961.94
299.882	10.5592	427.567	1971.21
299.907	10.5583	429.622	1980.52
299.931	10.5575	431.677	1989.89
299.956	10.5566	434.732	1999.33
299.98	10.5558	436.787	2008.82
300.005	10.5549	439.842	2018.39
300.029	10.554	441.896	2028
300.054	10.5532	441.951	2037.62
300.078	10.5523	442.006	2047.24
300.103	10.5515	443.061	2056.88
300.127	10.5506	447.116	2066.63
300.151	10.5497	451.171	2076.47
300.176	10.5489	455.226	2086.41
300.2	10.548	458.281	2096.43
300.225	10.5472	460.335	2106.5
300.249	10.5463	461.39	2116.59
300.274	10.5455	462.445	2126.71
300.298	10.5446	464.5	2136.88
300.323	10.5437	467.555	2147.12
300.347	10.5429	470.61	2157.44
300.371	10.542	473.665	2167.83
300.396	10.5412	477.719	2178.33
300.42	10.5403	481.774	2188.92
300.445	10.5394	485.829	2199.61
300.469	10.5386	488.884	2210.37
300.494	10.5377	490.939	2221.19
300.518	10.5369	492.994	2232.05
300.543	10.536	496.049	2242.99
300.567	10.5352	499.104	2254.01
300.592	10.5343	501.158	2265.07
300.616	10.5334	502.213	2276.17
300.64	10.5326	502.268	2287.26
300.665	10.5317	502.323	2298.35
300.689	10.5309	501.378	2309.42
300.714	10.53	501.433	2320.49
300.738	10.5292	502.488	2331.59
300.763	10.5283	505.543	2342.76
300.787	10.5275	509.597	2354.04
300.812	10.5266	513.652	2365.41
300.836	10.5257	518.707	2376.9
300.86	10.5249	524.762	2388.54
300.885	10.524	531.817	2400.36
300.909	10.5232	536.872	2412.3
300.934	10.5223	541.927	2424.36
300.958	10.5215	545.982	2436.52
300.983	10.5206	550.036	2448.78
301.007	10.5198	555.091	2461.16
301.032	10.5189	559.146	2473.65
301.056	10.518	564.201	2486.25
301.08	10.5172	569.256	2498.98
301.105	10.5163	573.311	2511.81
301.129	10.5155	577.366	2524.74
301.154	10.5146	580.421	2537.75
301.178	10.5138	583.475	2550.82
301.203	10.5129	586.53	2563.98
301.227	10.5121	589.585	2577.2
301.252	10.5112	592.64	2590.5
301.276	10.5104	595.695	2603.88
301.301	10.5095	598.75	2617.33
301.325	10.5087	601.805	2630.86
301.349	10.5078	603.86	2644.43
301.374	10.507	606.914	2658.09
301.398	10.5061	609.969	2671.81
301.423	10.5053	615.024	2685.66
301.447	10.5044	619.079	2699.61
301.472	10.5035	622.134	2713.63
301.496	10.5027	622.189	2727.66
301.521	10.5018	622.244	2741.68
301.545	10.501	624.298	2755.76
301.569	10.5001	630.353	2769.98
301.594	10.4993	636.408	2784.35
301.618	10.4984	642.463	2798.87
301.643	10.4976	648.518	2813.54
301.667	10.4967	653.573	2828.33
301.692	10.4959	657.628	2843.23
301.716	10.495	660.683	2858.19
301.741	10.4942	662.737	2873.21
301.765	10.4933	665.792	2888.3
301.79	10.4925	669.847	2903.49
301.814	10.4916	673.902	2918.78
301.838	10.4908	677.957	2934.16
301.863	10.4899	681.012	2949.63
301.887	10.4891	686.067	2965.21
301.912	10.4882	692.122	2980.95
301.936	10.4874	700.176	2996.88
301.961	10.4865	708.231	3013.01
301.985	10.4857	717.286	3029.35
302.01	10.4848	726.341	3045.93
302.034	10.484	734.396	3062.69
302.058	10.4831	740.451	3079.61
302.083	10.4823	745.506	3096.65
302.107	10.4814	749.56	3113.79
302.132	10.4806	753.615	3131.02
302.156	10.4797	757.67	3148.36
302.181	10.4789	763.725	3165.85
302.205	10.4781	769.78	3183.48
302.23	10.4772	776.835	3201.28
302.254	10.4764	784.89	3219.29
302.279	10.4755	791.945	3237.46
302.303	10.4747	799	3255.81
302.327	10.4738	803.054	3274.25
302.352	10.473	807.109	3292.8
302.376	10.4721	812.164	3311.47
302.401	10.4713	815.219	3330.21
302.425	10.4704	818.274	3349.03
302.45	10.4696	820.329	3367.9
302.474	10.4687	824.384	3386.87
302.499	10.4679	829.438	3405.96
302.523	10.467	834.493	3425.18
302.547	10.4662	840.548	3444.54
302.572	10.4654	844.603	3464
302.596	10.4645	847.658	3483.54
302.621	10.4637	850.713	3503.15
302.645	10.4628	853.768	3522.84
302.67	10.462	857.823	3542.62
