b1	1	b2	2
344.71	-0.27821	344.63	-5.4975
344.72	-0.015296	344.63	-5.1202
344.72	0.24741	344.64	-4.7495
344.73	0.51013	344.64	-4.3849
344.73	0.77308	344.65	-4.0259
344.74	1.0365	344.66	-3.672
344.74	1.3006	344.66	-3.3229
344.74	1.5655	344.67	-2.9779
344.75	1.8316	344.67	-2.6368
344.75	2.0991	344.68	-2.2991
344.76	2.3681	344.68	-1.9644
344.76	2.6389	344.69	-1.6322
344.77	2.9118	344.69	-1.3023
344.77	3.1869	344.7	-0.97409
344.78	3.4645	344.7	-0.64733
344.78	3.7449	344.71	-0.32159
344.79	4.0284	344.72	0.0035052
344.79	4.315	344.72	0.32833
344.8	4.6053	344.73	0.65327
344.8	4.8993	344.73	0.97869
344.81	5.1974	344.74	1.305
344.81	5.4998	344.74	1.6325
344.82	5.8069	344.75	1.9617
344.82	6.119	344.75	2.2929
344.83	6.4363	344.76	2.6265
344.83	6.7592	344.76	2.9629
344.84	7.088	344.77	3.3026
344.84	7.4231	344.78	3.6459
344.85	7.7647	344.78	3.9932
344.85	8.1134	344.79	4.3451
344.86	8.4694	344.79	4.7019
344.86	8.8331	344.8	5.0641
344.87	9.2051	344.8	5.4322
344.87	9.5856	344.81	5.8067
344.88	9.9752	344.81	6.188
344.88	10.374	344.82	6.5768
344.89	10.783	344.82	6.9736
344.89	11.203	344.83	7.3789
344.9	11.634	344.84	7.7933
344.9	12.076	344.84	8.2175
344.91	12.53	344.85	8.6522
344.91	12.998	344.85	9.0979
344.92	13.478	344.86	9.5555
344.92	13.973	344.86	10.026
344.93	14.483	344.87	10.509
344.93	15.008	344.87	11.007
344.94	15.549	344.88	11.52
344.94	16.108	344.88	12.049
344.95	16.685	344.89	12.595
344.95	17.28	344.9	13.159
344.96	17.896	344.9	13.742
344.96	18.533	344.91	14.346
344.97	19.191	344.91	14.971
344.97	19.873	344.92	15.619
344.98	20.579	344.92	16.292
344.98	21.31	344.93	16.991
344.99	22.069	344.93	17.717
344.99	22.856	344.94	18.473
345	23.673	344.94	19.26
345	24.521	344.95	20.08
345.01	25.402	344.96	20.936
345.01	26.319	344.96	21.829
345.02	27.272	344.97	22.763
345.02	28.265	344.97	23.74
345.03	29.298	344.98	24.762
345.03	30.375	344.98	25.833
345.04	31.498	344.99	26.957
345.04	32.67	344.99	28.137
345.05	33.892	345	29.378
345.05	35.17	345	30.682
345.06	36.505	345.01	32.057
345.06	37.901	345.02	33.505
345.07	39.362	345.02	35.034
345.07	40.891	345.03	36.65
345.08	42.494	345.03	38.359
345.08	44.174	345.04	40.168
345.08	45.936	345.04	42.088
345.09	47.786	345.05	44.125
345.09	49.73	345.05	46.292
345.1	51.774	345.06	48.598
345.1	53.923	345.06	51.058
345.11	56.186	345.07	53.684
345.11	58.57	345.08	56.493
345.12	61.083	345.08	59.503
345.12	63.735	345.09	62.734
345.13	66.535	345.09	66.208
345.13	69.494	345.1	69.953
345.14	72.624	345.1	73.997
345.14	75.937	345.11	78.376
345.15	79.446	345.11	83.128
345.15	83.168	345.12	88.301
345.16	87.118	345.12	93.949
345.16	91.314	345.13	100.14
345.17	95.777	345.14	106.94
345.17	100.53	345.14	114.45
345.18	105.59	345.15	122.79
345.18	110.98	345.15	132.08
345.19	116.75	345.16	142.51
345.19	122.91	345.16	154.29
345.2	129.5	345.17	167.69
345.2	136.57	345.17	183.05
345.21	144.14	345.18	200.75
345.21	152.28	345.18	221.22
345.22	161.04	345.19	244.72
345.22	170.47	345.2	271.1
345.23	180.63	345.2	299.48
345.23	191.61	345.21	329.01
345.24	203.49	345.21	361.53
345.24	216.36	345.22	403.04
345.25	230.32	345.22	459.75
345.25	245.5	345.23	533.53
345.26	262.02	345.23	621.45
345.26	280.05	345.24	714.34
345.27	299.75	345.24	793.92
345.27	321.32	345.25	840.63
345.28	345	345.26	864.49
345.28	371.03	345.26	922.92
345.29	399.73	345.27	1073.8
345.29	431.43	345.27	1325.3
345.3	466.54	345.28	1642.9
345.3	505.53	345.28	1957.7
345.31	548.94	345.29	2154.3
345.31	597.42	345.29	2111
345.32	651.72	345.3	1866.6
345.32	712.73	345.3	1717
345.33	781.51	345.31	1958.7
345.33	859.32	345.32	2622
345.34	947.69	345.32	3532.1
345.34	1048.4	345.33	4404.2
345.35	1163.8	345.33	4818.2
