b	fn2	n2	n2a	fo2	o2	o2a
333.812	9.48747	45.4408	10.8591	9.50057	39.2989	11.3707
333.813	9.48744	44.4559	10.9371	9.50053	36.3075	11.4455
333.814	9.4874	41.4709	11.0114	9.5005	32.316	11.5154
333.816	9.48737	37.486	11.0807	9.50046	29.3246	11.5815
333.817	9.48733	32.5011	11.1438	9.50043	28.3331	11.6465
333.818	9.4873	27.5162	11.2008	9.50039	28.3416	11.7114
333.819	9.48726	25.5313	11.2553	9.50036	28.3502	11.7763
333.821	9.48723	21.5464	11.3048	9.50032	31.3587	11.845
333.822	9.48719	17.5615	11.3493	9.50029	33.3672	11.9162
333.823	9.48716	18.5765	11.3951	9.50025	35.3758	11.9899
333.824	9.48712	20.5916	11.4435	9.50022	38.3843	12.0673
333.825	9.48708	24.6067	11.4968	9.50018	39.3928	12.1459
333.827	9.48705	28.6218	11.5551	9.50014	39.4014	12.2246
333.828	9.48701	29.6369	11.6147	9.50011	39.4099	12.3033
333.829	9.48698	30.652	11.6755	9.50007	36.4184	12.3783
333.83	9.48694	32.6671	11.7389	9.50004	34.427	12.4507
333.832	9.48691	33.6821	11.8035	9.5	34.4355	12.5233
333.833	9.48687	34.6972	11.8693	9.49997	34.444	12.5958
333.834	9.48684	36.7123	11.9377	9.49993	33.4526	12.6671
333.835	9.4868	38.7274	12.0086	9.4999	34.4611	12.7396
333.837	9.48677	41.7425	12.0832	9.49986	38.4697	12.8171
333.838	9.48673	46.7576	12.1641	9.49983	39.4782	12.8959
333.839	9.4867	53.7726	12.2536	9.49979	40.4867	12.9759
333.84	9.48666	58.7877	12.3494	9.49976	40.4952	13.0559
333.842	9.48663	62.8028	12.4502	9.49972	40.5038	13.136
333.843	9.48659	65.8179	12.5548	9.49968	41.5123	13.2173
333.844	9.48655	68.833	12.6631	9.49965	41.5209	13.2986
333.845	9.48652	68.8481	12.7714	9.49961	40.5294	13.3787
333.847	9.48648	68.8632	12.8798	9.49958	38.5379	13.4563
333.848	9.48645	68.8782	12.9881	9.49954	38.5465	13.5339
333.849	9.48641	69.8933	13.0977	9.49951	40.555	13.614
333.85	9.48638	69.9084	13.2074	9.49947	44.5635	13.6991
333.852	9.48634	72.9235	13.3208	9.49944	48.5721	13.7892
333.853	9.48631	74.9386	13.4367	9.4994	51.5806	13.883
333.854	9.48627	74.9537	13.5526	9.49937	55.5891	13.9818
333.855	9.48624	74.9688	13.6685	9.49933	58.5977	14.0843
333.857	9.4862	75.9839	13.7857	9.4993	58.6062	14.1869
333.858	9.48617	76.9989	13.9041	9.49926	56.6147	14.287
333.859	9.48613	77.014	14.0226	9.49922	55.6233	14.3858
333.86	9.4861	78.0291	14.1423	9.49919	55.6318	14.4847
333.862	9.48606	79.0442	14.2633	9.49915	55.6403	14.5835
333.863	9.48602	76.0593	14.3806	9.49912	52.6489	14.6787
333.864	9.48599	72.0744	14.493	9.49908	48.6574	14.7689
333.865	9.48595	69.0894	14.6016	9.49905	44.666	14.8541
333.867	9.48592	67.1045	14.7077	9.49901	40.6745	14.9343
333.868	9.48588	66.1196	14.8127	9.49898	38.683	15.0121
333.869	9.48585	63.1347	14.9139	9.49894	38.6916	15.0899
333.87	9.48581	60.1498	15.0114	9.49891	40.7001	15.1702
333.871	9.48578	59.1649	15.1077	9.49887	45.7086	15.2567
333.873	9.48574	61.18	15.2064	9.49884	50.7172	15.3495
333.874	9.48571	65.195	15.3102	9.4988	52.7257	15.4447
333.875	9.48567	68.2101	15.4178	9.49877	55.7342	15.5437
333.876	9.48564	70.2252	15.5278	9.49873	55.7428	15.6427
333.878	9.4856	71.2403	15.6391	9.49869	54.7513	15.7404
333.879	9.48557	71.2554	15.7504	9.49866	51.7598	15.8345
333.88	9.48553	73.2705	15.8642	9.49862	48.7684	15.9248
333.881	9.48549	74.2856	15.9793	9.49859	45.7769	16.0114
333.883	9.48546	74.3006	16.0944	9.49855	43.7854	16.0955
333.884	9.48542	74.3157	16.2095	9.49852	44.794	16.1809
333.885	9.48539	72.3308	16.3222	9.49848	46.8025	16.2688
333.886	9.48535	68.3459	16.4298	9.49845	49.811	16.3604
333.888	9.48532	62.361	16.5301	9.49841	51.8196	16.4545
333.889	9.48528	58.3761	16.6254	9.49838	55.8281	16.5536
333.89	9.48525	58.3912	16.7207	9.49834	59.8366	16.6577
333.891	9.48521	54.4062	16.8111	9.49831	61.8452	16.7643
333.893	9.48518	49.4213	16.8953	9.49827	61.8537	16.8709
333.894	9.48514	44.4364	16.9732	9.49823	59.8623	16.975
333.895	9.48511	43.4515	17.05	9.4982	57.8708	17.0766
333.896	9.48507	45.4666	17.1292	9.49816	54.8793	17.1745
333.898	9.48504	47.4817	17.211	9.49813	50.8879	17.2675
333.899	9.485	49.4967	17.2952	9.49809	44.8964	17.353
333.9	9.48497	50.5118	17.3808	9.49806	37.9049	17.4298
333.901	9.48493	52.5269	17.4688	9.49802	31.9135	17.4992
333.903	9.48489	56.542	17.5618	9.49799	27.922	17.5636
333.904	9.48486	59.5571	17.6586	9.49795	23.9305	17.623
333.905	9.48482	64.5722	17.7616	9.49792	21.9391	17.68
333.906	9.48479	68.5873	17.8696	9.49788	21.9476	17.737
333.908	9.48475	70.6024	17.9801	9.49785	23.9561	17.7965
333.909	9.48472	68.6174	18.0881	9.49781	27.9647	17.8609
333.91	9.48468	66.6325	18.1937	9.49777	31.9732	17.9304
333.911	9.48465	68.6476	18.3018	9.49774	37.9817	18.0073
333.913	9.48461	69.6627	18.4111	9.4977	41.9903	18.0892
333.914	9.48458	69.6778	18.5204	9.49767	44.9988	18.1748
333.915	9.48454	70.6929	18.6311	9.49763	48.0073	18.2642
333.916	9.48451	71.7079	18.7429	9.4976	51.0159	18.3573
333.917	9.48447	70.723	18.8536	9.49756	53.0244	18.4529
333.919	9.48444	71.7381	18.9655	9.49753	51.033	18.546
333.92	9.4844	72.7532	19.0787	9.49749	48.0415	18.6355
333.921	9.48436	73.7683	19.1931	9.49746	45.05	18.7212
333.922	9.48433	73.7834	19.3076	9.49742	39.0585	18.7994
333.924	9.48429	75.7985	19.4245	9.49739	33.0671	18.8702
333.925	9.48426	77.8136	19.544	9.49735	28.0756	18.9348
333.926	9.48422	78.8286	19.6647	9.49732	23.0842	18.9932
333.927	9.48419	77.8437	19.7842	9.49728	19.0927	19.0466
333.929	9.48415	77.8588	19.9037	9.49724	15.1012	19.0951
333.93	9.48412	74.8739	20.0195	9.49721	13.1098	19.1411
333.931	9.48408	71.889	20.1317	9.49717	13.1183	19.1871
333.932	9.48405	69.9041	20.2413	9.49714	16.1268	19.2368
333.934	9.48401	70.9191	20.3522	9.4971	20.1354	19.2916
333.935	9.48398	74.9342	20.4681	9.49707	25.1439	19.3525
333.936	9.48394	78.9493	20.589	9.49703	28.1524	19.4172
333.937	9.48391	79.9644	20.7111	9.497	29.161	19.4831
333.939	9.48387	79.9795	20.8332	9.49696	29.1695	19.5491
333.94	9.48384	80.9946	20.9567	9.49693	30.178	19.6163
333.941	9.4838	80.0097	21.0789	9.49689	32.1866	19.686
333.942	9.48376	79.0247	21.1998	9.49686	34.1951	19.7582
333.944	9.48373	74.0398	21.3146	9.49682	37.2036	19.8342
333.945	9.48369	68.0549	21.4219	9.49678	38.2122	19.9114
333.946	9.48366	63.07	21.5231	9.49675	38.2207	19.9886
333.947	9.48362	61.0851	21.6217	9.49671	41.2293	20.0695
333.949	9.48359	62.1002	21.7217	9.49668	46.2378	20.1567
333.95	9.48355	63.1153	21.8229	9.49664	52.2463	20.2513
333.951	9.48352	65.1303	21.9266	9.49661	56.2548	20.351
333.952	9.48348	68.1454	22.034	9.49657	58.2634	20.4531
333.954	9.48345	70.1605	22.144	9.49654	56.2719	20.5528
333.955	9.48341	72.1756	22.2564	9.4965	54.2805	20.6499
333.956	9.48338	75.1907	22.3726	9.49647	52.289	20.7446
333.957	9.48334	76.2058	22.4901	9.49643	53.2975	20.8406
333.959	9.48331	77.2209	22.6088	9.4964	54.3061	20.9378
333.96	9.48327	77.2359	22.7276	9.49636	55.3146	21.0362
333.961	9.48323	75.251	22.8439	9.49633	55.3231	21.1347
333.962	9.4832	74.2661	22.9589	9.49629	55.3317	21.2332
333.963	9.48316	72.2812	23.0715	9.49625	57.3402	21.3342
333.965	9.48313	73.2963	23.1853	9.49622	60.3487	21.4389
333.966	9.48309	75.3114	23.3017	9.49618	65.3573	21.5498
333.967	9.48306	79.3264	23.423	9.49615	68.3658	21.6645
333.968	9.48302	83.3415	23.5494	9.49611	71.3743	21.7829
