b	f0005	0005	0005a	f0020	0020	0020a	f0100	0100	0100a	f0300	0300	0300a	f0500	0500	0500a	f0700	0700	0700a
331.146	9.56192	-8.11142	0.85588	9.56193	-30.441	-0.10242	9.56196	-17.3567	-0.06436	9.56198	-1.81238	1.59146	9.562	-20.7054	0.73055	9.56207	16.4369	1.66911
331.148	9.56184	-6.11294	0.86671	9.56185	-30.4381	-0.15923	9.56188	-18.3602	-0.09983	9.56191	-1.82762	1.60034	9.56193	-26.7148	0.68615	9.562	15.4189	1.71209
331.151	9.56177	-1.11447	0.88998	9.56178	-31.4353	-0.21852	9.56181	-15.3637	-0.12785	9.56184	0.15714	1.61417	9.56186	-31.7242	0.6293	9.56193	15.401	1.75503
331.153	9.5617	1.884	0.92069	9.56171	-32.4324	-0.28029	9.56174	-11.3673	-0.14593	9.56177	0.14191	1.62795	9.56179	-34.7336	0.56496	9.56186	16.3831	1.8004
331.156	9.56163	4.88248	0.95887	9.56164	-33.4295	-0.34453	9.56167	-9.37077	-0.15905	9.5617	1.12667	1.64418	9.56171	-34.743	0.5006	9.56178	17.3651	1.84822
331.158	9.56156	6.88095	1.00201	9.56157	-33.4267	-0.40877	9.5616	-7.37429	-0.16721	9.56162	2.11143	1.66286	9.56164	-34.7525	0.43621	9.56171	17.3472	1.89599
331.161	9.56148	7.87943	1.04763	9.5615	-34.4238	-0.47549	9.56153	-7.3778	-0.17537	9.56155	4.09619	1.68648	9.56157	-33.7619	0.37429	9.56164	19.3292	1.94869
331.163	9.56141	6.8779	1.09077	9.56142	-36.4209	-0.54718	9.56145	-8.38132	-0.18603	9.56148	6.08095	1.71503	9.5615	-33.7713	0.31235	9.56157	20.3113	2.00383
331.166	9.56134	4.87637	1.12893	9.56135	-35.4181	-0.61637	9.56138	-8.38484	-0.19669	9.56141	8.06572	1.74851	9.56143	-33.7807	0.25038	9.5615	21.2934	2.06142
331.168	9.56127	1.87485	1.15962	9.56128	-33.4152	-0.68058	9.56131	-7.38835	-0.20488	9.56134	10.0505	1.78693	9.56136	-34.7901	0.1859	9.56143	21.2754	2.11896
331.171	9.5612	-0.12668	1.18534	9.56121	-31.4124	-0.73981	9.56124	-7.39187	-0.21308	9.56126	12.0352	1.83029	9.56128	-35.7995	0.11891	9.56135	21.2575	2.17645
331.173	9.56113	-1.12821	1.20857	9.56114	-29.4095	-0.79407	9.56117	-8.39538	-0.22377	9.56119	14.02	1.87858	9.56121	-37.8089	0.04693	9.56128	21.2395	2.2339
331.176	9.56105	-3.12973	1.22682	9.56106	-30.4066	-0.8508	9.56109	-9.3989	-0.23696	9.56112	16.0048	1.9318	9.56114	-38.8184	-0.02756	9.56121	21.2216	2.29131
331.178	9.56098	-5.13126	1.2401	9.56099	-30.4038	-0.90752	9.56102	-9.40242	-0.25016	9.56105	19.9895	1.99493	9.56107	-38.8278	-0.10208	9.56114	22.2037	2.35116
331.181	9.56091	-6.13278	1.25088	9.56092	-32.4009	-0.96921	9.56095	-10.4059	-0.26585	9.56098	23.9743	2.06797	9.561	-37.8372	-0.17413	9.56107	24.1857	2.41593
331.183	9.56084	-7.13431	1.25918	9.56085	-33.398	-1.03338	9.56088	-10.4095	-0.28155	9.56091	24.9591	2.14346	9.56093	-38.8466	-0.2487	9.561	24.1678	2.48066
331.186	9.56077	-8.13584	1.26498	9.56078	-35.3952	-1.10252	9.56081	-11.413	-0.29975	9.56083	23.9438	2.21642	9.56085	-36.856	-0.31831	9.56092	24.1499	2.54535
331.188	9.5607	-9.13736	1.2683	9.56071	-36.3923	-1.17413	9.56074	-11.4165	-0.31795	9.56076	22.9286	2.28686	9.56078	-33.8654	-0.38049	9.56085	25.1319	2.61248
331.191	9.56062	-9.13889	1.27161	9.56063	-37.3894	-1.24822	9.56066	-11.42	-0.33616	9.56069	22.9133	2.35727	9.56071	-30.8748	-0.43524	9.56078	25.114	2.67956
331.193	9.56055	-6.14042	1.28237	9.56056	-35.3866	-1.31734	9.56059	-12.4235	-0.35687	9.56062	21.8981	2.42514	9.56064	-29.8843	-0.48752	9.56071	25.096	2.7466
331.196	9.56048	-1.14194	1.30557	9.56049	-30.3837	-1.37401	9.56052	-11.427	-0.3751	9.56055	21.8829	2.49298	9.56057	-27.8937	-0.53485	9.56064	24.0781	2.81111
331.198	9.56041	0.85653	1.33373	9.56042	-27.3809	-1.42322	9.56045	-11.4306	-0.39334	9.56048	19.8676	2.55581	9.56049	-25.9031	-0.57723	9.56056	24.0602	2.87557
331.201	9.56034	2.85501	1.36686	9.56035	-25.378	-1.46745	9.56038	-10.4341	-0.40911	9.5604	18.8524	2.61612	9.56042	-23.9125	-0.61466	9.56049	24.0422	2.93999
331.203	9.56026	3.85348	1.40248	9.56027	-23.3751	-1.5067	9.56031	-10.4376	-0.42488	9.56033	17.8371	2.6739	9.56035	-21.9219	-0.64714	9.56042	25.0243	3.00685
331.205	9.56019	3.85195	1.43809	9.5602	-21.3723	-1.54097	9.56023	-10.4411	-0.44066	9.56026	15.8219	2.72667	9.56028	-18.9313	-0.67219	9.56035	27.0063	3.07864
331.208	9.56012	1.85043	1.46872	9.56013	-18.3694	-1.56777	9.56016	-9.44462	-0.45396	9.56019	14.8067	2.77691	9.56021	-16.9407	-0.69229	9.56028	28.9884	3.15536
331.21	9.56005	-0.1511	1.49438	9.56006	-15.3665	-1.58711	9.56009	-7.44813	-0.4623	9.56012	12.7914	2.82215	9.56014	-15.9501	-0.70993	9.56021	31.9705	3.23949
331.213	9.55998	-1.15263	1.51755	9.55999	-11.3637	-1.59649	9.56002	-5.45165	-0.46567	9.56004	6.77619	2.85242	9.56006	-14.9596	-0.7251	9.56013	32.9525	3.32606
331.215	9.55991	-0.15415	1.5432	9.55992	-7.36081	-1.59592	9.55995	-5.45517	-0.46905	9.55997	2.76095	2.87272	9.55999	-15.969	-0.74278	9.56006	32.9346	3.41259
331.218	9.55983	1.84432	1.57382	9.55984	-3.35795	-1.5854	9.55987	-3.45868	-0.46747	9.5599	-0.25428	2.88552	9.55992	-16.9784	-0.76297	9.55999	32.9166	3.49907
331.22	9.55976	4.8428	1.61189	9.55977	-1.35509	-1.5699	9.5598	-3.4622	-0.4659	9.55983	-1.26952	2.89579	9.55985	-16.9878	-0.78319	9.55992	31.8987	3.58302
331.223	9.55969	6.84127	1.65493	9.5597	-1.35222	-1.55439	9.55973	-5.46571	-0.46931	9.55976	-1.28476	2.90603	9.55978	-15.9972	-0.80094	9.55985	33.8808	3.67191
331.225	9.55962	8.83974	1.70295	9.55963	-3.34936	-1.54385	9.55966	-7.46923	-0.4777	9.55969	0.7	2.9212	9.55971	-17.0066	-0.8212	9.55978	33.8628	3.76074
331.228	9.55955	8.83822	1.75096	9.55956	-3.3465	-1.5333	9.55959	-7.47275	-0.4861	9.55961	2.68476	2.94131	9.55963	-15.016	-0.83651	9.5597	33.8449	3.84953
331.23	9.55948	8.83669	1.79896	9.55949	-3.34363	-1.52275	9.55952	-6.47626	-0.49202	9.55954	3.66952	2.96386	9.55956	-11.0254	-0.8419	9.55963	32.8269	3.93579
331.233	9.5594	9.83517	1.84945	9.55941	-4.34077	-1.51467	9.55944	-7.47978	-0.50043	9.55947	3.65429	2.98638	9.55949	-8.03486	-0.83986	9.55956	31.809	4.01952
331.235	9.55933	8.83364	1.89744	9.55934	-6.33791	-1.51156	9.55937	-10.4833	-0.51632	9.5594	5.63905	3.01383	9.55942	-7.04428	-0.83535	9.55949	28.7911	4.09575
