b	fcucl2	cucl2	cucl2a	fcuso4	cuso4	cuso4a
265.297	11.9416	7.28752	23.6455	11.9502	39.8628	153.705
265.322	11.9405	5.29205	23.8598	11.9491	40.885	154.893
265.346	11.9394	5.29658	24.0742	11.948	41.9072	156.107
265.371	11.9383	5.30111	24.2888	11.9469	42.9294	157.346
265.395	11.9372	5.30564	24.5034	11.9458	41.9516	158.561
265.419	11.9361	6.31017	24.7426	11.9447	42.9738	159.801
265.444	11.935	8.3147	25.0308	11.9436	42.9959	161.041
265.468	11.9339	11.3192	25.3925	11.9425	45.0181	162.331
265.493	11.9328	13.3238	25.8032	11.9414	45.0403	163.621
265.517	11.9317	14.3283	26.2384	11.9403	46.0625	164.937
265.542	11.9306	15.3328	26.6982	11.9392	46.0847	166.252
265.566	11.9295	14.3374	27.1337	11.9381	46.1069	167.569
265.591	11.9284	14.3419	27.5693	11.937	46.1291	168.886
265.615	11.9273	14.3464	28.005	11.9359	45.1513	170.179
265.64	11.9262	13.3509	28.4163	11.9348	45.1735	171.473
265.664	11.9251	12.3555	28.8033	11.9337	45.1957	172.767
265.688	11.924	11.36	29.166	11.9326	45.2179	174.062
265.713	11.9229	10.3645	29.5043	11.9315	45.24	175.357
265.737	11.9218	10.3691	29.8428	11.9304	45.2622	176.653
265.762	11.9207	9.37359	30.1569	11.9293	46.2844	177.973
265.786	11.9196	8.37812	30.4467	11.9282	46.3066	179.295
265.811	11.9185	8.38265	30.7366	11.9271	47.3288	180.641
265.835	11.9174	8.38718	31.0265	11.926	47.351	181.988
265.86	11.9163	8.39171	31.3166	11.9249	47.3732	183.335
265.884	11.9152	8.39624	31.6069	11.9238	46.3954	184.659
265.908	11.9141	8.40077	31.8972	11.9227	46.4176	185.983
265.933	11.913	9.4053	32.2121	11.9216	45.4398	187.283
265.957	11.9119	10.4098	32.5515	11.9205	45.462	188.584
265.982	11.9108	11.4144	32.9155	11.9194	46.4842	189.909
266.006	11.9097	12.4189	33.3041	11.9183	47.5063	191.26
266.031	11.9086	12.4234	33.6927	11.9172	47.5285	192.611
266.055	11.9075	12.4279	34.0815	11.9161	47.5507	193.963
266.08	11.9064	11.4325	34.446	11.915	45.5729	195.267
266.104	11.9054	11.437	34.8105	11.9139	44.5951	196.546
266.129	11.9043	11.4415	35.1752	11.9129	41.6173	197.753
266.153	11.9032	11.4461	35.54	11.9118	40.6395	198.935
266.177	11.9021	10.4506	35.8804	11.9107	40.6617	200.119
266.202	11.901	10.4551	36.221	11.9096	39.6839	201.278
266.226	11.8999	9.45966	36.5372	11.9085	39.7061	202.438
266.251	11.8988	7.46419	36.8046	11.9074	38.7283	203.574
266.275	11.8977	7.46872	37.0721	11.9063	37.7505	204.686
266.3	11.8966	7.47325	37.3398	11.9052	37.7726	205.799
266.324	11.8955	8.47778	37.632	11.9041	38.7948	206.937
266.349	11.8944	9.48231	37.9487	11.903	38.817	208.075
266.373	11.8933	9.48684	38.2656	11.9019	38.8392	209.214
266.397	11.8922	9.49137	38.5826	11.9008	38.8614	210.353
266.422	11.8911	8.4959	38.8753	11.8997	39.8836	211.517
266.446	11.8901	7.50043	39.1436	11.8986	39.9058	212.682
266.471	11.889	7.50496	39.412	11.8975	40.928	213.872
266.495	11.8879	7.50949	39.6805	11.8965	41.9502	215.087
266.52	11.8868	8.51402	39.9736	11.8954	40.9724	216.278
266.544	11.8857	9.51855	40.2913	11.8943	40.9946	217.469
266.569	11.8846	10.5231	40.6335	11.8932	41.0168	218.661
266.593	11.8835	11.5276	41.0003	11.8921	40.039	219.829
266.617	11.8824	11.5321	41.3671	11.891	41.0611	221.022
266.642	11.8813	10.5367	41.7097	11.8899	42.0833	222.241
266.666	11.8802	9.5412	42.0279	11.8888	44.1055	223.508
266.691	11.8792	9.54573	42.3462	11.8877	44.1277	224.776
266.715	11.8781	8.55026	42.6402	11.8866	45.1499	226.069
266.74	11.877	5.55479	42.8609	11.8856	45.1721	227.363
266.764	11.8759	3.55932	43.0329	11.8845	44.1943	228.633
266.789	11.8748	0.56385	43.1316	11.8834	44.2165	229.903
266.813	11.8737	-1.43162	43.1815	11.8823	44.2387	231.174
266.838	11.8726	-1.42709	43.2315	11.8812	45.2609	232.469
266.862	11.8715	-0.42256	43.3062	11.8801	46.2831	233.79
266.886	11.8705	0.58196	43.4053	11.879	48.3053	235.16
266.911	11.8694	2.58649	43.5535	11.8779	51.3274	236.604
266.935	11.8683	4.59102	43.7507	11.8768	53.3496	238.098
266.96	11.8672	4.59555	43.9479	11.8758	55.3718	239.641
266.984	11.8661	4.60008	44.1453	11.8747	57.394	241.233
267.009	11.865	3.60461	44.3184	11.8736	58.4162	242.851
267.033	11.8639	2.60914	44.4671	11.8725	58.4384	244.469
267.058	11.8628	1.61367	44.5915	11.8714	56.4606	246.038
267.082	11.8618	1.6182	44.716	11.8703	55.4828	247.584
267.106	11.8607	1.62273	44.8406	11.8692	55.505	249.13
267.131	11.8596	1.62726	44.9653	11.8681	54.5272	250.653
267.155	11.8585	3.63179	45.139	11.8671	52.5494	252.126
267.18	11.8574	3.63632	45.3129	11.866	51.5716	253.577
267.204	11.8563	3.64085	45.4868	11.8649	51.5937	255.027
267.229	11.8552	3.64538	45.6609	11.8638	51.6159	256.478
267.253	11.8542	4.64991	45.8595	11.8627	51.6381	257.93
267.278	11.8531	4.65444	46.0582	11.8616	51.6603	259.382
